"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"161","1.650004007","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3744, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"165","1.653566820","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3745, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"169","1.659048749","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","206","QoS Data, SN=3746, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"173","1.662328775","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","195","QoS Data, SN=3747, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"177","1.662384839","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=3748, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"183","1.662453055","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","245","QoS Data, SN=3749, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"187","1.666025316","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3750, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"191","1.666084519","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","748","QoS Data, SN=3751, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"195","1.666133648","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","940","QoS Data, SN=3752, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"201","1.679744890","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3753, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"205","1.679800479","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=3754, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"209","1.679847474","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=3755, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"213","1.682558820","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3756, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"215","1.682592136","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","178","QoS Data, SN=3757, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"219","1.682642393","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3758, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"223","1.682693967","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3759, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"225","1.694323418","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1029, FN=0, Flags=...P...TC","","Null function (No data)"
"227","1.740603115","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1030, FN=0, Flags=.......TC","","Null function (No data)"
"234","1.744115127","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3760, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"235","1.744125777","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3761, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"236","1.744134450","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=3762, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"237","1.744143008","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3763, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"238","1.744151506","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=3764, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"239","1.744160508","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3765, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"240","1.744168840","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=3766, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"241","1.744178112","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3767, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"242","1.744193093","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3768, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"243","1.744203452","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3769, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"244","1.744212902","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3770, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"248","1.747750533","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3771, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"250","1.747785357","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3772, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"254","1.747831755","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3773, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"255","1.747844575","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","154","QoS Data, SN=3774, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"259","1.747890928","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=3775, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"265","1.755718067","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3776, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"269","1.755775888","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3777, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"271","1.755801217","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3778, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"272","1.755818362","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3779, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"276","1.755866148","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","164","QoS Data, SN=3780, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"280","1.755916583","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=3781, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"284","1.758968573","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","691","QoS Data, SN=3782, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"288","1.759024737","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","691","QoS Data, SN=3783, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"294","1.780607854","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3784, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"298","1.780663774","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3785, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"299","1.780677150","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3786, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"301","1.780702091","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3787, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"309","1.784171932","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","206","QoS Data, SN=3788, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"310","1.784191333","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3790, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"311","1.784207860","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","872","QoS Data, SN=3791, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"312","1.784221968","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3792, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"314","1.784248702","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","192","QoS Data, SN=3789, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"320","1.793990759","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3793, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"324","1.794045390","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3794, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"328","1.797491570","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3795, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"329","1.797511290","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3796, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"333","1.797566328","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1547","QoS Data, SN=3797, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"335","1.797593178","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3798, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"339","1.797639032","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=3799, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"343","1.797685084","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3800, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"347","1.797745092","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1547","QoS Data, SN=3801, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"351","1.838334375","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","757","QoS Data, SN=3802, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"352","1.838359599","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","746","QoS Data, SN=3803, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"368","1.882660893","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3804, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"370","1.882694993","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3805, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"374","1.882741985","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3806, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"375","1.882754631","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3807, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"376","1.882766601","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3808, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"377","1.882778742","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3809, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"381","1.882829459","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3810, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"386","1.886106567","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3810, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"390","1.889627118","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3811, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"395","1.901762276","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3812, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"399","1.901817705","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3813, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"403","1.906985270","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3814, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"407","1.919587068","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3815, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"411","1.932127331","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3816, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"415","1.935702013","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3817, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"421","1.954176646","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3818, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"427","1.957831521","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3819, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"431","1.957887328","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3820, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"435","1.968173237","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3821, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"443","1.993693058","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3822, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"447","1.996627594","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","246","QoS Data, SN=19, FN=0, Flags=.p.....TC","Network Control (Voice)","QoS Data"
"451","2.000136872","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","167","QoS Data, SN=3823, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"455","2.000192776","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","167","QoS Data, SN=3824, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"459","2.003644432","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3825, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"463","2.006451488","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3826, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"467","2.010006704","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","335","QoS Data, SN=3827, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"471","2.013730763","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","229","QoS Data, SN=3828, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"475","2.013763992","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","232","QoS Data, SN=3829, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"479","2.013789645","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3830, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"483","2.013819095","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3831, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"489","2.037894489","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3832, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"493","2.037951540","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3833, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"497","2.037998023","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3834, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"501","2.038042866","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3835, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"505","2.038088335","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3836, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"509","2.038133792","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3837, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"513","2.040702917","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3838, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"515","2.040737848","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3839, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"519","2.040785071","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3840, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"523","2.043942797","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3841, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"532","2.052858074","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3842, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"536","2.052912386","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3843, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"540","2.052958743","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3844, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"544","2.056252647","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3845, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"548","2.056328613","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3846, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"549","2.056342737","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3847, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"555","2.066215485","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3848, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"559","2.066271569","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3849, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"563","2.066318378","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3850, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
