"No.","Time","Source","Destination","Protocol","Length","Info"
"44","1.812507818","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","374","QoS Data, SN=15, FN=0, Flags=.p.....TC"
"45","1.816470352","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","151","QoS Data, SN=16, FN=0, Flags=.p.....TC"
"46","1.829990561","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","714","QoS Data, SN=17, FN=0, Flags=.p.....TC"
"47","1.846112056","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=18, FN=0, Flags=.p.....TC"
"48","1.885031620","aa:3a:0e:b6:ed:12","Broadcast","802.11","120","QoS Data, SN=4, FN=0, Flags=.p.....TC"
"49","1.888321496","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=9, FN=0, Flags=.......TC"
"50","1.894801939","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=9, FN=0, Flags=....R..TC"
"51","1.910551798","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=20, FN=0, Flags=.p.....TC"
"52","1.913784442","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","448","QoS Data, SN=21, FN=0, Flags=.p.....TC"
"53","1.941948183","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=0, FN=0, Flags=.p.....TC"
"54","1.945186173","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=22, FN=0, Flags=.p.....TC"
"55","1.945201049","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","184","QoS Data, SN=24, FN=0, Flags=.p.....TC"
"56","1.945226334","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=23, FN=0, Flags=.p.....TC"
"57","1.960726524","aa:3a:0e:b6:ed:12","IPv6mcast_16","802.11","191","QoS Data, SN=25, FN=0, Flags=.p.....TC"
"58","2.002681068","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=26, FN=0, Flags=.p.....TC"
"59","2.078338152","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=10, FN=0, Flags=...P...TC"
"60","2.172632916","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=11, FN=0, Flags=.......TC"
"61","2.175894614","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","714","QoS Data, SN=27, FN=0, Flags=.p.....TC"
"62","2.175918080","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=28, FN=0, Flags=.p.....TC"
"63","2.175931322","aa:3a:0e:b6:ed:12","IPv6mcast_16","802.11","171","QoS Data, SN=29, FN=0, Flags=.p.....TC"
