"No.","Time","Source","Destination","Protocol","Length","Info"
"684","22.243160832","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1508, FN=0, Flags=.p.....TC"
"685","22.243205620","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1509, FN=0, Flags=.p.....TC"
"686","22.243234222","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1510, FN=0, Flags=.p.....TC"
"687","22.249691598","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","178","QoS Data, SN=1512, FN=0, Flags=.p.....TC"
"688","22.249726991","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=1511, FN=0, Flags=.p.....TC"
"689","22.249774617","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1513, FN=0, Flags=.p.....TC"
"690","22.249810036","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1513, FN=0, Flags=.p..R..TC"
"691","22.256209424","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","292","QoS Data, SN=1514, FN=0, Flags=.p.....TC"
"692","22.256249791","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","164","QoS Data, SN=1515, FN=0, Flags=.p.....TC"
"693","22.259410257","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","184","QoS Data, SN=1516, FN=0, Flags=.p.....TC"
"694","22.262716144","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","184","QoS Data, SN=1517, FN=0, Flags=.p.....TC"
"695","22.269282335","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1518, FN=0, Flags=.p.....TC"
"696","22.272499375","","aa:3a:0e:b6:ed:12","802.11","3121","QoS Data, SN=1200, FN=0, Flags=.p....F.C"
"697","22.272539956","","aa:3a:0e:b6:ed:12","802.11","3009","QoS Data, SN=1201, FN=0, Flags=.p....F.C"
"698","22.272556004","","aa:3a:0e:b6:ed:12","802.11","3037","QoS Data, SN=1202, FN=0, Flags=.p....F.C"
"699","22.275827821","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1519, FN=0, Flags=.p.....TC"
"700","22.275837003","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1520, FN=0, Flags=.p.....TC"
"701","22.275844699","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1521, FN=0, Flags=.p.....TC"
"702","22.275852079","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1522, FN=0, Flags=.p.....TC"
"703","22.275859379","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1523, FN=0, Flags=.p.....TC"
"704","22.275866814","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1524, FN=0, Flags=.p.....TC"
"705","22.278874132","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1041, FN=0, Flags=...P...TC"
"706","22.322046438","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1042, FN=0, Flags=.......TC"
"707","22.325448518","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1519, FN=0, Flags=.p..R..TC"
"708","22.325461537","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1520, FN=0, Flags=.p..R..TC"
"709","22.325468491","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1521, FN=0, Flags=.p..R..TC"
"710","22.325474946","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1522, FN=0, Flags=.p..R..TC"
"711","22.325481190","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1523, FN=0, Flags=.p..R..TC"
"712","22.325487398","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1524, FN=0, Flags=.p..R..TC"
"713","22.325493501","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1525, FN=0, Flags=.p..R..TC"
"714","22.325503364","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1526, FN=0, Flags=.p.....TC"
"715","22.325510223","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1527, FN=0, Flags=.p.....TC"
"716","22.325516602","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","164","QoS Data, SN=1528, FN=0, Flags=.p.....TC"
"717","22.325522752","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1529, FN=0, Flags=.p.....TC"
"718","22.325529016","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1530, FN=0, Flags=.p.....TC"
"719","22.325535464","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","206","QoS Data, SN=1531, FN=0, Flags=.p.....TC"
"720","22.325541631","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","195","QoS Data, SN=1532, FN=0, Flags=.p.....TC"
"721","22.325547782","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=1533, FN=0, Flags=.p.....TC"
"722","22.325555265","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","738","QoS Data, SN=1534, FN=0, Flags=.p.....TC"
"723","22.325561715","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1535, FN=0, Flags=.p.....TC"
"724","22.325586653","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1524, FN=0, Flags=.p..R..TC"
"725","22.325593510","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1536, FN=0, Flags=.p.....TC"
"726","22.325621962","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1537, FN=0, Flags=.p.....TC"
"727","22.328713069","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1538, FN=0, Flags=.p.....TC"
"728","22.331953260","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=1539, FN=0, Flags=.p.....TC"
"729","22.331992464","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1547","QoS Data, SN=1540, FN=0, Flags=.p.....TC"
"730","22.332003123","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","754","QoS Data, SN=1541, FN=0, Flags=.p.....TC"
"731","22.332072136","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=1539, FN=0, Flags=.p..R..TC"
"732","22.332081599","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=1542, FN=0, Flags=.p.....TC"
"733","22.335326259","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1543, FN=0, Flags=.p.....TC"
"734","22.335378861","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1543, FN=0, Flags=.p..R..TC"
"735","22.338446952","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1543, FN=0, Flags=.p..R..TC"
"736","22.338495251","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1543, FN=0, Flags=.p..R..TC"
"737","22.341737713","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1543, FN=0, Flags=.p..R..TC"
"738","22.341788869","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","285","QoS Data, SN=1544, FN=0, Flags=.p.....TC"
"739","22.341797255","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=1545, FN=0, Flags=.p.....TC"
"740","22.348268977","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","160","QoS Data, SN=1546, FN=0, Flags=.p.....TC"
"741","22.348287920","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=1547, FN=0, Flags=.p.....TC"
"742","22.354766772","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1548, FN=0, Flags=.p.....TC"
"743","22.354824823","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=1549, FN=0, Flags=.p.....TC"
"744","22.354903077","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=1552, FN=0, Flags=.p.....TC"
"745","22.354947691","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=1553, FN=0, Flags=.p.....TC"
"746","22.364557794","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1554, FN=0, Flags=.p.....TC"
"747","22.364584902","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1554, FN=0, Flags=.p..R..TC"
"748","22.364617384","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1555, FN=0, Flags=.p.....TC"
"749","22.364624499","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1556, FN=0, Flags=.p.....TC"
"750","22.364644405","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1555, FN=0, Flags=.p..R..TC"
"751","22.364651446","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1556, FN=0, Flags=.p..R..TC"
"752","22.364671485","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1555, FN=0, Flags=.p..R..TC"
"753","22.364678386","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1556, FN=0, Flags=.p..R..TC"
"754","22.367796448","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1555, FN=0, Flags=.p..R..TC"
"755","22.367807880","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1556, FN=0, Flags=.p..R..TC"
"756","22.374539393","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1555, FN=0, Flags=.p..R..TC"
"757","22.374551155","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1556, FN=0, Flags=.p..R..TC"
"758","22.384331650","","aa:3a:0e:b6:ed:12","802.11","3037","QoS Data, SN=1214, FN=0, Flags=.p....F.C"
"759","22.384358313","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1557, FN=0, Flags=.p.....TC"
"760","22.384367208","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1558, FN=0, Flags=.p.....TC"
"761","22.387762074","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1558, FN=0, Flags=.p..R..TC"
"762","22.387767049","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1560, FN=0, Flags=.p.....TC"
"763","22.387772012","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=1561, FN=0, Flags=.p.....TC"
"764","22.387780248","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1562, FN=0, Flags=.p.....TC"
"765","22.397520072","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1559, FN=0, Flags=.p.....TC"
"766","22.397530364","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1558, FN=0, Flags=.p..R..TC"
