sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
24,42190,60.285982594,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=2209, FN=0, Flags=.p..R..TC",288.7823834196891,237175.63516651292,0.05151253799999722,0.002082561289119172,6.816187912215349e-05,965,945
25,44502,62.247307813,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2595, FN=0, Flags=.p..R..TC",292.7012987012987,337961.42691638647,0.0031661129999989157,0.002549518053246759,0.00011168548259840442,770,738
26,46380,64.249362407,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2955, FN=0, Flags=.p.....TC",317.6352549889135,416890.7913417216,0.04209180600000195,0.0022522626308203978,0.0002037171336636171,902,852
27,48394,66.251717581,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3505, FN=0, Flags=.p.....TC",257.9026651216686,237207.59376319096,0.00368466599999806,0.002292342896871367,0.00015704333604205285,863,839
28,50377,68.279840399,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,144,"QoS Data, SN=3773, FN=0, Flags=.p..R..TC",263.228813559322,314811.32614496944,0.0627369850000008,0.007264275682203447,0.001426597108090924,236,226
29,51209,70.261313146,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3900, FN=0, Flags=.p.....TC",295.4637188208617,390408.67575369193,0.3298406709999995,0.0026221750328798044,0.0003787231687518064,882,839
30,53396,72.247314908,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=325, FN=0, Flags=.p.....TC",257.97386870618226,283859.64281161746,0.0030840540000127703,0.0012208113275971961,3.448648846835161e-05,1569,1514
31,56396,74.389667784,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1215, FN=0, Flags=.p.....TC",298.50698324022346,386374.5803707467,0.22998395700000174,0.002898626037709506,0.00018941332184403367,716,681
32,58156,76.338043872,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1628, FN=0, Flags=.p..R..TC",290.4932735426009,360542.72692094516,0.10294380199999864,0.004212588910313892,0.0006592516819471263,446,423
33,59472,78.40721701,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,141,"QoS Data, SN=28, FN=0, Flags=.p..R..TC",292.06451612903226,165217.529032258,0.2933022859999994,0.04813123922580675,0.011204634252724993,31,31
34,59892,80.703194174,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1911, FN=0, Flags=.p.....TC",215.58947368421053,42009.138185890246,1.0972110339999972,0.026543104199999928,0.01842178397065169,95,95
35,60479,82.963501242,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1938, FN=0, Flags=.p.....TC",159.0,0.0,0.8359232030000072,0.031616392185185305,0.025843054528509837,27,27
36,60677,84.648777957,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,179,"QoS Data, SN=1945, FN=0, Flags=.p.....TC",238.0,58970.82352941176,1.6675573289999903,0.1298371559999999,0.15421731650896936,18,18
38,61719,88.676572135,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,135,"QoS Data, SN=1960, FN=0, Flags=.p.....TC",140.44444444444446,250.77777777777771,3.358282699,0.4979311920000005,1.2480390809485924,9,9
39,62196,91.029149312,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,135,"QoS Data, SN=1962, FN=0, Flags=.p.....TC",135.0,0.0,1.2294791479999958,0.23043765412499972,0.2054373441178769,8,8
41,62815,94.8641599,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1965, FN=0, Flags=.p.....TC",212.375,195.6358695652174,3.220988503000001,0.14304111774999959,0.4301102041436515,24,24
42,63113,96.853468916,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1967, FN=0, Flags=.p.....TC",276.69354838709677,78113.23865722535,1.777310693000004,0.02535698762096775,0.030699422556943214,124,124
43,63666,98.249145323,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1994, FN=0, Flags=.p.....TC",149.78571428571428,55.30292598967252,0.028720634999999106,0.024103431178571572,0.00616612628947227,84,84
44,64258,100.247899089,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=2025, FN=0, Flags=.p.....TC",281.31976744186045,346915.5911510614,0.0027861819999941417,0.0018911555096899153,6.25820318281961e-05,1032,986
45,66570,102.263555284,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2546, FN=0, Flags=.p.....TC",288.35774647887325,380625.5750457552,0.06676989100000696,0.0014427003492957584,3.751371928254246e-05,355,337
46,67399,105.399211725,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=2818, FN=0, Flags=.p.....TC",167.0,,2.6902677080000075,2.6902677080000075,,1,1
